time,voltage,pressed
32.4402041,1.847507331,1
32.5012983,1.852394917,1
32.5633647,1.857282502,1
32.6249077,1.857282502,1
32.6875873,1.857282502,1
32.747035,1.867057674,1
32.8107552,1.871945259,1
32.8716475,1.876832845,1
32.9329116,1.88172043,1
32.9940208,1.88172043,1
33.0574937,1.88172043,1
33.117491,1.88172043,1
33.1796094,1.88172043,1
33.2414064,1.88172043,1
33.3021191,1.886608016,1
33.3644854,1.891495601,1
33.4251364,1.896383187,1
33.4872403,1.906158358,1
33.5469031,1.906158358,1
33.607898,1.906158358,1
33.6704064,1.911045943,1
33.7317349,1.911045943,1
33.794239,1.915933529,1
33.8568493,1.920821114,1
33.9173695,1.920821114,1
33.9785447,1.920821114,1
34.0395873,1.9257087,1
34.1047443,1.9257087,1
34.1657305,1.920821114,1
34.2258449,1.9257087,1
34.2878946,1.935483871,1
34.3495058,1.940371457,1
34.4119231,1.930596285,1
34.4734559,1.930596285,1
34.5356807,1.9257087,1
34.5959383,1.9257087,1
34.6582786,1.915933529,1
34.7208925,1.915933529,1
34.7825842,1.915933529,1
34.8427463,1.911045943,1
34.9055935,1.911045943,1
34.9666595,1.906158358,1
35.0285136,1.906158358,1
35.088945,1.906158358,1
35.151692,1.906158358,1
35.2129259,1.901270772,1
35.2753445,1.901270772,1
35.3373562,1.901270772,1
35.3978274,1.901270772,1
35.4596503,1.896383187,1
35.5211555,1.896383187,1
35.5834114,1.891495601,1
35.6451412,1.891495601,1
35.7085562,1.896383187,1
35.7684357,1.891495601,1
35.8308851,1.891495601,1
35.8916713,1.901270772,1
35.9532355,1.901270772,1
36.0133941,1.911045943,1
36.0778573,1.911045943,1
36.1390716,1.906158358,1
36.2008441,1.911045943,1
36.263355,1.906158358,1
36.3224524,1.901270772,1
36.382177,1.901270772,1
36.4457426,1.901270772,1
36.5067519,1.896383187,1
36.568196,1.891495601,1
36.6288936,1.901270772,1
36.6925141,1.906158358,1
36.7535177,1.901270772,1
36.8146747,1.901270772,1
36.8757595,1.901270772,1
36.9379795,1.911045943,1
36.999595,1.911045943,1
37.0602194,1.901270772,1
37.1236108,1.906158358,1
37.183384,1.901270772,1
37.2467649,1.891495601,1
37.3080543,1.886608016,1
37.3720548,1.88172043,1
37.433115,1.871945259,1
37.4945552,1.867057674,1
37.5569282,1.862170088,1
37.6194584,1.857282502,1
37.6814142,1.852394917,1
37.7434765,1.852394917,1
37.8054657,1.847507331,1
37.8679263,1.842619746,1
37.9284754,1.842619746,1
37.989299,1.842619746,1
38.0511716,1.83773216,1
38.1127273,1.83773216,1
38.1745127,1.83773216,1
38.2351872,1.83773216,1
38.2974472,1.832844575,1
38.3572583,1.832844575,1
38.4182932,1.842619746,1
38.4796209,1.847507331,1
38.5415101,1.847507331,1
38.6024636,1.852394917,1
38.6635442,1.867057674,1
38.7246682,1.867057674,1
38.7862003,1.862170088,1
38.8467933,1.867057674,1
38.909521,1.871945259,1
38.9692026,1.871945259,1
39.0305155,1.871945259,1
39.0916542,1.871945259,1
39.1533642,1.88172043,1
39.216159,1.88172043,1
39.2786914,1.88172043,1
39.3389008,1.886608016,1
39.402225,1.901270772,1
39.4650661,1.901270772,1
39.5282008,1.901270772,1
39.5888152,1.896383187,1
39.6508061,1.901270772,1
39.7136558,1.901270772,1
39.773565,1.896383187,1
39.8351273,1.896383187,1
39.8956671,1.896383187,1
39.9575458,1.901270772,1
40.0208718,1.901270772,1
40.0828127,1.896383187,1
40.1422484,1.901270772,1
40.2050552,1.906158358,1
40.2663141,1.901270772,1
40.3279876,1.896383187,1
40.3884374,1.896383187,1
40.4494614,1.891495601,1
40.5103519,1.886608016,1
40.5734349,1.886608016,1
40.6342642,1.88172043,1
40.697422,1.88172043,1
40.7566016,1.876832845,1
40.8192315,1.876832845,1
40.8804506,1.871945259,1
40.9425288,1.871945259,1
41.0035038,1.867057674,1
41.0641893,1.867057674,1
41.1255316,1.867057674,1
41.1874092,1.862170088,1
41.2472566,1.862170088,1
41.3109786,1.862170088,1
41.3719634,1.862170088,1
41.4322452,1.862170088,1
41.4922587,1.862170088,1
41.5549569,1.862170088,1
41.632219,1.867057674,1
41.6925367,1.862170088,1
41.7557559,1.867057674,1
41.8160646,1.871945259,1
41.878519,1.871945259,1
41.9392439,1.876832845,1
42.0020764,1.871945259,1
42.0639791,1.876832845,1
42.126226,1.88172043,1
42.1868328,1.88172043,1
42.2483312,1.88172043,1
42.311191,1.88172043,1
42.3726053,1.88172043,1
42.4325504,1.876832845,1
42.4948775,1.871945259,1
42.5569383,1.871945259,1
42.6177856,1.871945259,1
42.6789589,1.871945259,1
42.7393528,1.871945259,1
42.8028435,1.876832845,1
42.862898,1.88172043,1
42.9251955,1.876832845,1
42.9856977,1.867057674,1
43.0499217,1.862170088,1
43.1091358,1.862170088,1
43.1727265,1.857282502,1
43.2341417,1.847507331,1
43.2969272,1.847507331,1
43.3575289,1.842619746,1
43.4195442,1.83773216,1
43.4814871,1.832844575,1
43.5438889,1.832844575,1
43.6041702,1.827956989,1
43.6655472,1.832844575,1
43.7276444,1.832844575,1
43.7912955,1.832844575,1
43.8519538,1.83773216,1
43.9123589,1.842619746,1
43.9735133,1.847507331,1
44.0339497,1.847507331,1
44.095192,1.852394917,1
44.1565203,1.857282502,1
44.2184904,1.862170088,1
44.2802038,1.862170088,1
44.3425745,1.867057674,1
44.4042551,1.871945259,1
44.4659297,1.876832845,1
44.5280114,1.876832845,1
44.5889181,1.871945259,1
44.6519106,1.876832845,1
44.7135075,1.876832845,1
44.7743239,1.871945259,1
44.8352839,1.876832845,1
44.8977847,1.871945259,1
44.9609207,1.871945259,1
45.0218667,1.871945259,1
45.0836881,1.867057674,1
45.1465704,1.862170088,1
45.2076258,1.862170088,1
45.2702047,1.862170088,1
45.3318191,1.862170088,1
45.3936317,1.857282502,1
45.4548705,1.867057674,1
45.5157461,1.867057674,1
45.5773124,1.862170088,1
45.6393238,1.862170088,1
45.7005752,1.862170088,1
45.7613002,1.857282502,1
45.8231537,1.857282502,1
45.8853734,1.852394917,1
45.9458467,1.857282502,1
46.0065635,1.852394917,1
46.0697432,1.852394917,1
46.1315913,1.852394917,1
46.1931163,1.847507331,1
46.2566509,1.857282502,1
46.3168512,1.847507331,1
46.3784181,1.842619746,1
46.4401177,1.842619746,1
46.5020274,1.842619746,1
46.563946,1.83773216,1
46.6253781,1.83773216,1
46.6868214,1.842619746,1
46.7481831,1.842619746,1
46.8110184,1.842619746,1
46.8708348,1.847507331,1
46.9319127,1.852394917,1
46.9929902,1.847507331,1
47.0546484,1.847507331,1
47.1147789,1.862170088,1
47.1758283,1.867057674,1
47.2370256,1.867057674,1
47.2996753,1.871945259,1
47.3610903,1.876832845,1
47.422795,1.88172043,1
47.4875738,1.886608016,1
47.5471402,1.886608016,1
47.6078289,1.891495601,1
47.6692272,1.896383187,1
47.7306169,1.896383187,1
47.7923028,1.891495601,1
47.8536791,1.906158358,1
47.9154551,1.906158358,1
47.9768205,1.911045943,1
48.036595,1.911045943,1
48.0982901,1.915933529,1
48.1598794,1.920821114,1
48.2215239,1.911045943,1
48.2835814,1.906158358,1
48.3440636,1.901270772,1
48.4041477,1.901270772,1
48.466746,1.891495601,1
48.5281541,1.886608016,1
48.5897396,1.88172043,1
48.6509932,1.876832845,1
48.7137281,1.871945259,1
48.7741627,1.867057674,1
48.8365802,1.862170088,1
48.8968937,1.862170088,1
48.9584675,1.857282502,1
49.0197744,1.852394917,1
49.0804173,1.852394917,1
49.14297,1.847507331,1
49.2057574,1.847507331,1
49.2666115,1.847507331,1
49.3283215,1.847507331,1
49.3909308,1.852394917,1
49.4517718,1.847507331,1
49.512626,1.852394917,1
49.5746235,1.857282502,1
49.6377755,1.862170088,1
49.6991012,1.867057674,1
49.7599552,1.871945259,1
49.8214149,1.876832845,1
49.8839767,1.88172043,1
49.9444936,1.886608016,1
50.0063165,1.886608016,1
50.069605,1.886608016,1
50.130524,1.891495601,1
50.1911813,1.891495601,1
